"SPECIES","n"
"Lesser nighthawk",50
"Seminole bat",50
"Gray partridge",49
"Snow goose/Ross's goose complex",49
"Tri-colored bat",49
"Bufflehead",48
"Cackling goose",48
"Ruddy turnstone",48
"Crested caracara",47
"Prairie falcon",47
"Band-tailed pigeon",46
"Diving duck (Aythya)",46
"Greater yellowlegs",46
"Least tern",46
"Unknown terrestrial mammal",46
"Snakes",45
"Western grebe",45
"Black-billed magpie",44
"Foxes",44
"Hammond's flycatcher",44
"Winter wren",44
"Canada warbler",43
"Eastern bluebird",43
"Greater sage-grouse",42
"MacGillivray's warbler",42
"Mississippi kite",42
"Mottled duck",42
"Say's phoebe",42
"American white pelican",41
"Black skimmer",41
"Common box turtle",41
"Golden eagle",41
"Gray kingbird",41
"Pigeons",41
"Townsend's warbler",41
"Lesser yellowlegs",40
"Yellow-headed blackbird",40
"Canvasback",39
"American alligator",38
"Blue-billed white tern",38
"Clay-colored sparrow",38
"Common swift",38
"Eared grebe",38
"Wilson's phalarope",38
"Zenaida dove",38
"Laysan albatross",37
"Sharp-tailed grouse",37
"Western/Clark's grebe complex",37
"Nightjars",36
"Purple finch",36
"Rusty blackbird",36
"Whimbrel",36
"Black-bellied whistling-duck",35
"Wood stork",35
"Black noddy",34
"Prairie warbler",34
"Acadian flycatcher",32
"Hummingbirds",32
"American bittern",31
"Black-capped chickadee",31
"Forster's tern",31
"Little blue heron",31
"Red-necked phalarope",31
"Rufous hummingbird",31
"White-eyed vireo",31
"Black drongo",30
"Bonin petrel",30
"Common poorwill",30
"Sedge wren",30
"Short-billed dowitcher",30
"Swifts",30
"Wedge-tailed shearwater",30
"Hooded merganser",29
"Horned grebe",29
"North American porcupine",29
"Northern yellow bat",29
"Solitary sandpiper",29
"White-faced ibis",29
"White-rumped sandpiper",29
"White-tailed tropicbird",29
"Willow flycatcher",29
"Long-eared owl",28
"Golden-crowned sparrow",27
"Gray bat",27
"Orchard oriole",27
"Black-necked stilt",26
"Chuck-will's-widow",26
"Green-tailed towhee",26
"Lazuli bunting",26
"Long-billed curlew",26
"Philadelphia vireo",26
"Tundra swan",26
"Common gray fox",25
"Greater scaup",25
"Summer tanager",25
"Willet",25
"Alder flycatcher",24
"Anna's hummingbird",24
"Red-throated loon",24
"Redhead",24
"Redpoll",24
"Western bluebird",24
"Budgerigar",23
"Eastern whip-poor-will",23
"Blue grosbeak",22
"Common pauraque",22
"Belted kingfisher",21
"Black-billed cuckoo",21
"Gunnison's prairie dog",21
"Kentucky warbler",21
